timestamp,player,action,position
2026-04-28T14:10:09,Equipo rival,Falta recibida,Rival
2026-04-28T14:10:12,Dani Olmo,Falta cometida,Mediocampista
2026-04-28T14:11:02,Equipo rival,Pase,Rival
2026-04-28T14:11:08,Equipo rival,Pase,Rival
2026-04-28T14:11:12,Equipo rival,Pase,Rival
2026-04-28T14:11:27,Equipo rival,Pase errado,Rival
2026-04-28T14:11:31,I. Martinez,Recuperacion,Defensa
2026-04-28T14:11:33,I. Martinez,Pase,Defensa
2026-04-28T14:11:43,Pedri,Pase,Mediocampista
2026-04-28T14:11:54,Gerard Martin,Pase errado,Defensa
2026-04-28T14:11:59,Equipo rival,Recuperacion,Rival
2026-04-28T14:12:02,Gerard Martin,Perdida,Defensa
2026-04-28T14:12:08,Equipo rival,Pase,Rival
2026-04-28T14:12:18,Equipo rival,Pase errado,Rival
2026-04-28T14:12:29,Cubarsi,Recuperacion,Defensa
2026-04-28T14:12:33,De Jong,Pase,Mediocampista
2026-04-28T14:12:51,Cubarsi,Pase errado,Defensa
2026-04-28T14:13:05,De Jong,Pase,Mediocampista
2026-04-28T14:13:13,Raphinha,Pase errado,Atacante
2026-04-28T14:13:18,Equipo rival,Recuperacion,Rival
2026-04-28T14:13:21,Equipo rival,Pase,Rival
2026-04-28T14:13:23,Raphinha,Perdida,Atacante
2026-04-28T14:13:31,Equipo rival,Pase,Rival
2026-04-28T14:13:39,Equipo rival,Pase,Rival
2026-04-28T14:13:53,Equipo rival,Regate,Rival
2026-04-28T14:30:52,Equipo rival,Pase,Rival
2026-04-28T14:30:58,Equipo rival,Pase errado,Rival
2026-04-28T14:31:01,Lamine Yamal,Intercepcion,Atacante
2026-04-28T14:31:24,Equipo rival,Pase,Rival
2026-04-28T14:31:40,Eric Garcia,Recuperacion,Defensa
2026-04-28T14:31:48,Equipo rival,Perdida,Rival
2026-04-28T14:31:56,Lamine Yamal,Pase,Atacante
2026-04-28T14:32:00,Pedri,Pase,Mediocampista
2026-04-28T14:32:21,Gerard Martin,Pase,Defensa
2026-04-28T14:32:28,Pedri,Pase,Mediocampista
2026-04-28T14:32:35,De Jong,Pase,Mediocampista
2026-04-28T14:32:47,Pedri,Pase,Mediocampista
2026-04-28T14:32:52,Cubarsi,Pase,Defensa
2026-04-28T14:32:56,I. Martinez,Pase,Defensa
2026-04-28T14:33:02,Gerard Martin,Pase,Defensa
2026-04-28T14:33:06,Raphinha,Pase,Atacante
2026-04-28T14:33:10,I. Martinez,Pase,Defensa
2026-04-28T14:33:13,Pedri,Pase,Mediocampista
2026-04-28T14:33:20,I. Martinez,Pase,Defensa
2026-04-28T14:33:29,Lamine Yamal,Pase,Atacante
2026-04-28T14:33:34,Eric Garcia,Pase,Defensa
2026-04-28T14:33:38,Lamine Yamal,Pase,Atacante
2026-04-28T14:33:44,Eric Garcia,Pase,Defensa
2026-04-28T14:33:50,Lamine Yamal,Regate,Atacante
2026-04-28T14:33:53,Lamine Yamal,Pase,Atacante
2026-04-28T14:33:57,Pedri,Pase,Mediocampista
2026-04-28T14:34:16,Lamine Yamal,Pase,Atacante
2026-04-28T14:34:30,Szczesny,Pase,Portero
2026-04-28T14:34:37,I. Martinez,Pase,Defensa
2026-04-28T14:34:48,Gerard Martin,Pase,Defensa
2026-04-28T14:34:51,I. Martinez,Pase,Defensa
2026-04-28T14:34:57,Ferran Torres,Pase,Atacante
